epoch,step,train/loss,valid/loss
0,0,0.42544853687286377,
0,0,,0.4024570882320404
1,1,0.4082949757575989,
1,1,,0.3863341808319092
2,2,0.39192378520965576,
2,2,,0.3708004653453827
3,3,0.37614086270332336,
3,3,,0.3556567430496216
4,4,0.36074015498161316,
4,4,,0.34074440598487854
5,5,0.34555718302726746,
5,5,,0.325920969247818
6,6,0.3304440677165985,
6,6,,0.3110579252243042
7,7,0.31526631116867065,
7,7,,0.29607173800468445
8,8,0.29993101954460144,
8,8,,0.2809737026691437
9,9,0.2844376564025879,
9,9,,0.2659422755241394
10,10,0.26894986629486084,
10,10,,0.25147488713264465
11,11,0.2539411187171936,
11,11,,0.23873674869537354
12,12,0.24053961038589478,
12,12,,0.23037515580654144
13,13,0.23134255409240723,
13,13,,0.23192405700683594
14,14,0.23183061182498932,
14,14,,0.2451922595500946
15,15,0.24407143890857697,
15,15,,0.2495555430650711
16,16,0.24814541637897491,
16,16,,0.2432897984981537
17,17,0.24211496114730835,
17,17,,0.23547875881195068
18,18,0.23475222289562225,
18,18,,0.23049622774124146
19,19,0.2302236407995224,
19,19,,0.22852781414985657
20,20,0.22865021228790283,
20,20,,0.2284839004278183
21,21,0.22892171144485474,
21,21,,0.2293265014886856
22,22,0.23000523447990417,
22,22,,0.23037558794021606
23,23,0.2312222570180893,
23,23,,0.23124022781848907
24,24,0.23219741880893707,
24,24,,0.23174351453781128
25,25,0.23276068270206451,
25,25,,0.2318320870399475
26,26,0.23286530375480652,
26,26,,0.23153074085712433
27,27,0.2325453907251358,
27,27,,0.23091831803321838
28,28,0.23187828063964844,
28,28,,0.23009495437145233
29,29,0.23097427189350128,
29,29,,0.22918415069580078
30,30,0.22995753586292267,
30,30,,0.2283095121383667
31,31,0.22895881533622742,
31,31,,0.22758972644805908
32,32,0.22809909284114838,
32,32,,0.2271125465631485
33,33,0.2274763584136963,
33,33,,0.22692519426345825
34,34,0.2271454632282257,
34,34,,0.22700795531272888
35,35,0.22709381580352783,
35,35,,0.22727257013320923
36,36,0.22724924981594086,
36,36,,0.22758856415748596
37,37,0.22748149931430817,
37,37,,0.2278001457452774
38,38,0.22764988243579865,
38,38,,0.22780828177928925
39,39,0.2276526838541031,
39,39,,0.2275768667459488
40,40,0.2274531126022339,
40,40,,0.22715182602405548
41,41,0.22710150480270386,
41,41,,0.22663690149784088
42,42,0.22667837142944336,
42,42,,0.226130411028862
43,43,0.22627423703670502,
43,43,,0.22570526599884033
44,44,0.22595149278640747,
44,44,,0.2253851443529129
45,45,0.2257358878850937,
45,45,,0.2251707911491394
46,46,0.22561077773571014,
46,46,,0.2250351458787918
47,47,0.22554811835289001,
47,47,,0.2249373197555542
48,48,0.22550541162490845,
48,48,,0.22484761476516724
49,49,0.22544988989830017,
49,49,,0.22474007308483124
50,50,0.22535550594329834,
50,50,,0.22459948062896729
51,51,0.2252126932144165,
51,51,,0.22443132102489471
52,52,0.22502292692661285,
52,52,,0.22424320876598358
53,53,0.22479745745658875,
53,53,,0.2240491509437561
54,54,0.22455789148807526,
54,54,,0.22386953234672546
55,55,0.22432249784469604,
55,55,,0.22371530532836914
56,56,0.22410736978054047,
56,56,,0.22358816862106323
57,57,0.22392436861991882,
57,57,,0.22348752617835999
58,58,0.22376897931098938,
58,58,,0.2233991026878357
59,59,0.22363245487213135,
59,59,,0.22329720854759216
60,60,0.22350101172924042,
60,60,,0.2231675684452057
61,61,0.22335655987262726,
61,61,,0.22300125658512115
62,62,0.22318673133850098,
62,62,,0.222792848944664
63,63,0.2229934185743332,
63,63,,0.2225576937198639
64,64,0.22277966141700745,
64,64,,0.22229689359664917
65,65,0.22255796194076538,
65,65,,0.2220332771539688
66,66,0.22233858704566956,
66,66,,0.2217731922864914
67,67,0.22212561964988708,
67,67,,0.22153273224830627
68,68,0.2219238579273224,
